Kenpom Rank,Seed,Kenpom Seed,Team,Record,Adj-O,Adj-O Rank,Adj-D,Adj-D Rank,Adj-T,Adj-T Rank,Luck,Luck Rank,SOS,SOS Rank,OppO,OppO Rank,OppD,OppD Rank,Non-Con SOS,Non-Con SOS Rank
111,14,14,SF Austin,28-6,105,177,99.4,67,71.1,48,0.037,85,-7.58,330,100.8,330,108.4,312,-2.05,225
114,13,14,Marshall,24-10,109.3,96,103.9,144,74.8,6,0.04,80,-1.67,184,104.8,175,106.4,204,-6.83,334
120,13,14,Charleston,26-7,109.9,87,105.2,167,64.6,324,0.049,63,-4.61,270,104.9,170,109.5,339,-7.46,337
127,16,15,Penn,24-8,103.6,205,99.9,73,68.9,131,0.078,23,-4.63,271,103.7,228,108.3,309,-2.77,253
134,15,15,Iona,20-13,110.3,80,107.4,212,70.7,56,-0.022,239,-2.39,211,103.3,254,105.7,156,2.26,102
135,14,15,Wright St,25-9,101.1,248,98.3,53,68.2,175,0.056,57,-4.78,274,102.6,281,107.4,257,2.3,100
153,15,15,CS Fullerton,20-11,105,176,103.7,134,69.5,97,0.089,19,-1.28,171,103.9,218,105.1,138,3.47,80
165,15,16,Lipscomb,23-9,103.8,197,103.4,131,74.9,5,0.114,6,-4.94,280,103.2,259,108.1,294,6.07,30
170,16,16,Radford,22-12,103.6,203,103.6,133,62.7,346,0.044,69,-4.43,268,102.7,278,107.1,244,4.01,69
184,16,16,UMBC,24-10,103.4,208,105.3,170,68.2,177,0.145,1,-5.63,296,102.5,286,108.2,296,-3.4,278
249,16,16,Texas Southern,15-19,105.3,173,112.9,315,71.6,35,-0.009,199,-6.74,315,101,329,107.7,273,17.47,1
251,16,16,LIU Brooklyn,18-16,103.3,211,111.1,294,71.4,39,0.015,136,-8.39,335,100.7,335,109,330,-5.78,317
309,16,16,NC Central,19-15,98.2,301,110.9,288,64.9,320,0.017,128,-12.75,350,98.7,349,111.4,351,-1.58,206
